material_id,header_name,header_number,folder_id,folder_name,extracted_at,material_type,brand,status,width,full_width,weight,fabric_group,lead_time_days,season_year,fabric_name_cn,supplier_name,supplier_id,supplier_text,price_rmb_per_m,price_rmb_per_kg,price_usd_per_m,price_usd_per_kg,moq,mcq,surcharge_moq,surcharge_mcq,material_reference_code,supplier_code,notes,properties_fabric,main_image_preview_url,main_image_origin_url,detail_image_preview_url,detail_image_origin_url,material_last_modified_at,page_last_modified,colorway_count,active_colorways,size_range_count,supplier_count,custom_field_count,composition_count,back_content_count,care_instruction_count,total_size_range_count,total_supplier_count
79bfce67-87af-4e82-bc3a-0e1d690ffde8,DOUBLE KNIT JAQUARD ,DPO007,c8d7e5cd-7e61-496c-8786-253594b5fb3e,01 Fabrics,2025-11-06 11:04:03.049153+00,Knit Double Knit,AAG CORE,"",147.0,152.0,180.0,Knit,40, | ,_____,K-BOXING,6386ca10-0375-46e8-84c3-4e7f00a4c6c9,,,,,,2000,500,,300.0,ND3643C,WPS3227L,,"","",,"",,2025-10-09 09:43:49.775,Attributes,,,,,37,,,,0,0
819b8321-44be-4344-9019-9430be5f3041,STABILIZER,ITRO11,5a34ce46-e7f1-476a-b9a2-0c8d7dbb873f,03 Trims,2025-11-06 11:04:03.049153+00,Other,GOVX,,,,,,, | ,,,,,,,,,,,,,,,,,https://prod-image-stream-svc-eastus.azureedge.net/preview/0ea6759e-1240-4608-bcc0-da76565ced21/2119de4b-d16e-470f-9f44-88a91d3544ee/1/0/2119de4b-d16e-470f-9f44-88a91d3544ee.png?width=1000,https://beproduct-cdn.azureedge.net/storage/0ea6759e-1240-4608-bcc0-da76565ced21/2119de4b-d16e-470f-9f44-88a91d3544ee/1/image.png?skoid=4b8031f7-27f4-4698-b378-2965827d97cb&sktid=f3c2a0c7-2351-4635-80dc-09579ed69557&skt=2025-11-06T05%3A55%3A05Z&ske=2025-11-06T18%3A10%3A05Z&sks=b&skv=2025-07-05&sv=2025-07-05&st=2025-11-06T10%3A48%3A21Z&se=2025-11-06T23%3A03%3A21Z&sr=b&sp=r&sig=D8LEatLdsZJtm49LtcRPv0jDdZw3bPxYiXv%2BbtvichY%3D,"",,2023-04-24 05:34:15.606,Material Tech Pack,,,,,17,,,,0,0
e384fd95-6b7b-4c2c-8664-e5374151411d,BONDED TRICOT,BNS004,c8d7e5cd-7e61-496c-8786-253594b5fb3e,01 Fabrics,2025-11-06 11:04:03.049153+00,Bonded,AAG CORE,"",140.0,145.0,405.0,"",, | ,"",CARVICO,8bdb1419-dceb-4e45-8809-487004caa13e,,,,,,35,35,,,"",B003 DUBAI,,"DULL / MATTE
DURABLE
EASY CARE
HEAVY WEIGHT '
4 WAY STRETCH
COMPRESSIVE SUPPORT '
RECYCLED MATERIALS '","",,"",,2025-10-09 09:38:49.024,Attributes,,,,,37,,,,0,0
d007b1ab-7f2f-49a8-9f63-9f37c9dacc88,1.25” WOVEN PATCH W/ EMBROIDERED HT WINGS,ASRVG002,5a34ce46-e7f1-476a-b9a2-0c8d7dbb873f,03 Trims,2025-11-06 11:04:03.049153+00,Logo,ASRV,Development,,,,,, | ,,,,,,,,,,,,,,,,,https://prod-image-stream-svc-eastus.azureedge.net/preview/0ea6759e-1240-4608-bcc0-da76565ced21/cd2c5904-49e1-4ced-833f-f5315f0fb99a/1/0/drawing_0.png?width=1000,https://beproduct-cdn.azureedge.net/storage/0ea6759e-1240-4608-bcc0-da76565ced21/cd2c5904-49e1-4ced-833f-f5315f0fb99a/1/asrvg002_wings%20woven%20patch%20w%20embroidered%20wings%20logo_10-14-25.ai?skoid=4b8031f7-27f4-4698-b378-2965827d97cb&sktid=f3c2a0c7-2351-4635-80dc-09579ed69557&skt=2025-11-06T05%3A55%3A05Z&ske=2025-11-06T18%3A10%3A05Z&sks=b&skv=2025-07-05&sv=2025-07-05&st=2025-11-06T10%3A48%3A21Z&se=2025-11-06T23%3A03%3A21Z&sr=b&sp=r&sig=c5q6besbpx12GruT6Z3ewqPMITXx99n6I5R57U6hMtk%3D,"",,2025-10-28 16:00:29.563,Attributes,,,,,17,,,,0,0
9ca87dd0-fd08-44e2-918a-e59c15c6023d,SUPERFINE SLUB JERSEY,JPO029,c8d7e5cd-7e61-496c-8786-253594b5fb3e,01 Fabrics,2025-11-06 11:04:03.049153+00,Knit Jersey,AAG CORE,"",147.0,152.0,78.0,Knit,40, | ,"",CHIN HSIANG SHUN,350fd7bb-d0a0-414e-9efd-e38b4a929dd8,"",,,,,3700,1350,,14001000.0,ND1708,AA140065,,"4 WAY STRETCH
ANTI PILLING '
COOL FEELING '
EASY CARE
FADE RESISTANT
GOOD DRAPE
MACHINE WASHABLE '
LIGHT WEIGHT '
MOISTURE WICKING
QUICK DRY
CREASE RESISTANT
SHRINK RESISTANT","",,"",,2025-10-09 09:57:42.91,Attributes,,,,,37,,,,0,0
48f7b123-c711-497a-ab05-818e0b7ee751,TUNNEL WOVEN ,NS6851E,c8d7e5cd-7e61-496c-8786-253594b5fb3e,01 Fabrics,2025-11-06 11:04:03.049153+00,Woven,JOHNNIE O,,,,,Woven,, | ,,,,,,,,,,,,,,,,,https://prod-image-stream-svc-eastus.azureedge.net/preview/0ea6759e-1240-4608-bcc0-da76565ced21/81341d3c-7d06-41b5-8e54-d65e178bc0c1/1/0/81341d3c-7d06-41b5-8e54-d65e178bc0c1.png?width=1000,https://beproduct-cdn.azureedge.net/storage/0ea6759e-1240-4608-bcc0-da76565ced21/81341d3c-7d06-41b5-8e54-d65e178bc0c1/1/screenshot%202024-06-07%20at%202.55.06-pm.png?skoid=4b8031f7-27f4-4698-b378-2965827d97cb&sktid=f3c2a0c7-2351-4635-80dc-09579ed69557&skt=2025-11-06T05%3A55%3A05Z&ske=2025-11-06T18%3A10%3A05Z&sks=b&skv=2025-07-05&sv=2025-07-05&st=2025-11-06T10%3A48%3A21Z&se=2025-11-06T23%3A03%3A21Z&sr=b&sp=r&sig=OML7MsKLSJWX0fh1QHk5dBJJtUwqfkZheLkltNwF8So%3D,"",,2024-06-07 21:55:33.591,Attributes,,,,,37,,,,0,0
b75d9885-2f5d-4545-b3d4-5ec8b824b3a8,LINEAR MARL JERSEY,JPNS018,c8d7e5cd-7e61-496c-8786-253594b5fb3e,01 Fabrics,2025-11-06 11:04:03.049153+00,Knit Jersey,AAG CORE,"",160.0,165.0,300.0,Knit,35, | ,"",E-UNITED,e1aeb4bd-1879-43bc-93d9-5d17ac5474b4,"",,,,,1200,600,,500.0,ND1617,EUWLXF123150123,,"4 WAY STRETCH
DULL / MATTE
DURABLE
EASY CARE
MACHINE WASHABLE '
MOISTURE WICKING","",,"",,2025-10-09 09:57:16.071,Attributes,,,,,37,,,,0,0
b6d58943-e6a1-435f-9b62-bcd208a91ff4,BP SHIELD LOGO - RAISED RUBBER,"SCR-BP03 (3/4"" x 1"" )",5a34ce46-e7f1-476a-b9a2-0c8d7dbb873f,03 Trims,2025-11-06 11:04:03.049153+00,Logo,BORN PRIMITIVE,,,,,,, | ,,,,,,,,,,,,,,,,,https://prod-image-stream-svc-eastus.azureedge.net/preview/0ea6759e-1240-4608-bcc0-da76565ced21/9a620955-227c-4c1f-af8c-748244d29afe/1/0/6842b93a-ebf2-4f1d-a353-f95c97594bb9.png?width=1000,https://beproduct-cdn.azureedge.net/storage/0ea6759e-1240-4608-bcc0-da76565ced21/9a620955-227c-4c1f-af8c-748244d29afe/1/blob.svg?skoid=4b8031f7-27f4-4698-b378-2965827d97cb&sktid=f3c2a0c7-2351-4635-80dc-09579ed69557&skt=2025-11-06T05%3A55%3A05Z&ske=2025-11-06T18%3A10%3A05Z&sks=b&skv=2025-07-05&sv=2025-07-05&st=2025-11-06T10%3A48%3A21Z&se=2025-11-06T23%3A03%3A21Z&sr=b&sp=r&sig=1Y%2F6Za47H6dSnYrU2zubUCek3u%2FT87CqR484xFtQ%2F%2BQ%3D,"",,2023-09-21 19:32:12.712,Attributes,,,,,17,,,,0,0
d4475d4f-df44-4bdc-8071-e3741a32d4fa,1X1 RIB,RCP014,c8d7e5cd-7e61-496c-8786-253594b5fb3e,01 Fabrics,2025-11-06 11:04:03.049153+00,Knit Rib,AAG CORE,"",150.0,155.0,190.0,Knit,30, | ,"",TIAN CHUAN,a40b4c6e-211f-4986-aba1-56840a465227,"",,,,,700,680,,650.0,ND1887,T1237,,"","",,"",,2025-10-10 01:48:39.844,Attributes,,,,,37,,,,0,0
fa761272-f210-43d2-a8d6-066d609e42aa,PEACHED JERSEY,JPVS008,c8d7e5cd-7e61-496c-8786-253594b5fb3e,01 Fabrics,2025-11-06 11:04:03.049153+00,Knit Jersey,AAG CORE,"",162.0,167.0,210.0,Knit,45, | ,"",MING SHENG ZHI YUAN,127009ee-76aa-4036-a623-cfde7d4cce19,,,,,,285,712,,600.0,ND2054,0457,,"4 WAY STRETCH
BREATHABLE
DULL / MATTE
COTTON HAND FEEL
DURABLE
EASY CARE
MACHINE WASHABLE '","",,"",,2025-10-10 01:47:45.259,Attributes,,,,,37,,,,0,0
